Title,User Rating,Letterboxd Rating,Rating Differential,Letterboxd Rating Count,Genres,Country of Origin,URL
Silence... Can You Hear It?,3.5,3.13,0.37,443,"['Drama', 'Thriller']",India,https://letterboxd.com//film/silence-can-you-hear-it/
Crawl,3.0,2.88,0.12,138128,"['Action', 'Thriller', 'Horror']",Canada,https://letterboxd.com//film/crawl-2019/
Dabangg 3,3.0,1.89,1.11,2042,"['Comedy', 'Action', 'Crime']",India,https://letterboxd.com//film/dabangg-3/
Bhoot: Part One - The Haunted Ship,3.0,2.72,0.28,1218,"['Horror', 'Thriller']",India,https://letterboxd.com//film/bhoot-part-one-the-haunted-ship/
Hitman's Wife's Bodyguard,3.5,2.53,0.97,73187,"['Comedy', 'Action', 'Crime', 'Thriller']",Bulgaria,https://letterboxd.com//film/hitmans-wifes-bodyguard/
Knives Out,4.5,3.99,0.51,2271332,"['Mystery', 'Comedy', 'Crime']",USA,https://letterboxd.com//film/knives-out-2019/
Star Wars: The Rise of Skywalker,3.0,2.36,0.64,857009,"['Adventure', 'Action', 'Science Fiction']",USA,https://letterboxd.com//film/star-wars-the-rise-of-skywalker/
Coming 2 America,3.5,2.29,1.21,65776,['Comedy'],USA,https://letterboxd.com//film/coming-2-america/
Annabelle Comes Home,3.0,2.51,0.49,140208,['Horror'],USA,https://letterboxd.com//film/annabelle-comes-home/
Escape Plan 2: Hades,2.5,1.76,0.74,14453,"['Thriller', 'Adventure', 'Mystery', 'Action', 'Crime']",China,https://letterboxd.com//film/escape-plan-2-hades/
Replicas,2.5,2.03,0.47,19801,"['Drama', 'Science Fiction', 'Thriller']",Canada,https://letterboxd.com//film/replicas/
Skyscraper,2.5,2.27,0.23,96968,"['Action', 'Thriller', 'Adventure']",USA,https://letterboxd.com//film/skyscraper-2018/
Mission: Impossible – Fallout,4.0,3.96,0.04,449268,"['Action', 'Adventure']",USA,https://letterboxd.com//film/mission-impossible-fallout/
Booksmart,2.5,3.75,-1.25,643514,['Comedy'],USA,https://letterboxd.com//film/booksmart/
Swiped,1.5,1.09,0.41,19429,"['Romance', 'Comedy', 'Drama']",USA,https://letterboxd.com//film/swiped-2018/
Toy Story 4,3.5,3.43,0.07,700608,"['Adventure', 'Comedy', 'Fantasy', 'Animation', 'Family']",USA,https://letterboxd.com//film/toy-story-4/
BlacKkKlansman,3.5,3.94,-0.44,753622,"['Drama', 'Comedy', 'History', 'Crime']",USA,https://letterboxd.com//film/blackkklansman/
Incredibles 2,4.5,3.44,1.06,845742,"['Animation', 'Adventure', 'Family', 'Action']",USA,https://letterboxd.com//film/incredibles-2/
Flight 666,2.5,2.34,0.16,913,"['Science Fiction', 'Horror']",USA,https://letterboxd.com//film/flight-666/
Den of Thieves,3.5,3.18,0.32,55163,"['Action', 'Crime', 'Thriller']",USA,https://letterboxd.com//film/den-of-thieves/
Death Wish,2.0,2.56,-0.56,32201,"['Thriller', 'Crime', 'Drama', 'Action']",USA,https://letterboxd.com//film/death-wish-2018/
Spider-Man: Far from Home,4.5,3.37,1.13,1316063,"['Adventure', 'Science Fiction', 'Action']",USA,https://letterboxd.com//film/spider-man-far-from-home/
Black Panther,4.0,3.64,0.36,1658860,"['Adventure', 'Science Fiction', 'Action']",USA,https://letterboxd.com//film/black-panther/
Avengers: Infinity War,5.0,3.96,1.04,1874673,"['Action', 'Science Fiction', 'Adventure']",USA,https://letterboxd.com//film/avengers-infinity-war/
Triple Frontier,3.5,2.97,0.53,119165,"['Action', 'Adventure', 'Thriller', 'Crime']",USA,https://letterboxd.com//film/triple-frontier/
John Wick: Chapter 3 – Parabellum,3.5,3.67,-0.17,604214,"['Crime', 'Thriller', 'Action']",USA,https://letterboxd.com//film/john-wick-chapter-3-parabellum/
Us,4.5,3.65,0.85,1267085,"['Thriller', 'Horror']",USA,https://letterboxd.com//film/us-2019/
The Commuter,3.5,2.83,0.67,70481,"['Mystery', 'Action', 'Thriller']",France,https://letterboxd.com//film/the-commuter/
Insidious: The Last Key,3.0,2.43,0.57,89750,"['Thriller', 'Horror', 'Mystery']",USA,https://letterboxd.com//film/insidious-the-last-key/
Midsommar,4.0,3.78,0.22,2019899,"['Mystery', 'Drama', 'Horror']",Sweden,https://letterboxd.com//film/midsommar/
Avengers: Endgame,4.5,3.87,0.63,1819577,"['Science Fiction', 'Action', 'Adventure']",USA,https://letterboxd.com//film/avengers-endgame/
Parasite,5.0,4.56,0.44,2765234,"['Comedy', 'Thriller', 'Drama']",South Korea,https://letterboxd.com//film/parasite-2019/
Venom,3.5,2.83,0.67,746196,"['Science Fiction', 'Action']",China,https://letterboxd.com//film/venom-2018/
The Meg,2.5,2.34,0.16,273230,"['Action', 'Science Fiction', 'Horror']",China,https://letterboxd.com//film/the-meg/
Once Upon a Time… in Hollywood,3.5,3.76,-0.26,1708146,"['Drama', 'Thriller', 'Comedy']",China,https://letterboxd.com//film/once-upon-a-time-in-hollywood/
The Lighthouse,4.0,4.04,-0.04,922381,"['Horror', 'Drama', 'Thriller', 'Fantasy']",Brazil,https://letterboxd.com//film/the-lighthouse-2019/
Bird Box,2.5,2.85,-0.35,690388,"['Thriller', 'Drama', 'Horror']",USA,https://letterboxd.com//film/bird-box/
Spider-Man: Into the Spider-Verse,4.5,4.42,0.08,2374135,"['Adventure', 'Animation', 'Science Fiction', 'Action']",USA,https://letterboxd.com//film/spider-man-into-the-spider-verse/
Glass,3.0,2.9,0.1,332791,"['Science Fiction', 'Drama', 'Thriller']",USA,https://letterboxd.com//film/glass-2019/
The Nun,2.5,2.1,0.4,289114,['Horror'],USA,https://letterboxd.com//film/the-nun-2018/
Scooby-Doo! and the Gourmet Ghost,4.0,2.95,1.05,3331,"['Family', 'Comedy', 'Adventure', 'Animation']",USA,https://letterboxd.com//film/scooby-doo-and-the-gourmet-ghost/
Bao,4.0,3.91,0.09,149194,"['Family', 'Fantasy', 'Animation']",USA,https://letterboxd.com//film/bao-2018/
Scooby-Doo! and the Curse of the 13th Ghost,3.5,3.04,0.46,3595,"['Animation', 'Adventure', 'Family', 'Comedy', 'Mystery']",USA,https://letterboxd.com//film/scooby-doo-and-the-curse-of-the-13th-ghost/
Deion's Double Play,3.5,3.3,0.2,975,['Documentary'],USA,https://letterboxd.com//film/deions-double-play/
Stree,4.0,3.24,0.76,8340,"['Horror', 'Comedy']",India,https://letterboxd.com//film/stree/
Triassic World,2.5,2.59,-0.09,364,"['Science Fiction', 'Action', 'Horror']",USA,https://letterboxd.com//film/triassic-world/
Escape Room,3.0,2.81,0.19,188764,"['Mystery', 'Thriller', 'Horror']",USA,https://letterboxd.com//film/escape-room-2019/
D-Railed,3.0,2.29,0.71,927,['Horror'],USA,https://letterboxd.com//film/d-railed/
The Curse of La Llorona,2.0,1.87,0.13,86166,['Horror'],USA,https://letterboxd.com//film/the-curse-of-la-llorona/
A Quiet Place,1.0,3.65,-2.65,1164275,"['Drama', 'Science Fiction', 'Horror']",USA,https://letterboxd.com//film/a-quiet-place-2018/
Murder Mystery,4.0,2.64,1.36,262388,"['Action', 'Comedy', 'Mystery']",USA,https://letterboxd.com//film/murder-mystery/
Tiger Zinda Hai,3.0,2.85,0.15,6133,"['Thriller', 'Adventure', 'Action']",India,https://letterboxd.com//film/tiger-zinda-hai/
Scooby-Doo! & Batman: The Brave and the Bold,3.5,3.21,0.29,7551,"['Action', 'Family', 'Science Fiction', 'Comedy', 'Animation']",USA,https://letterboxd.com//film/scooby-doo-batman-the-brave-and-the-bold/
Andhadhun,4.0,3.84,0.16,28020,"['Crime', 'Comedy', 'Mystery', 'Thriller']",India,https://letterboxd.com//film/andhadhun/
The Poison Rose,1.0,1.89,-0.89,3806,"['Thriller', 'Crime']",USA,https://letterboxd.com//film/the-poison-rose/
Tremors: A Cold Day in Hell,2.5,2.21,0.29,5455,"['Adventure', 'Science Fiction', 'Action']",USA,https://letterboxd.com//film/tremors-a-cold-day-in-hell/
The Two Bills,3.5,3.49,0.01,782,['Documentary'],USA,https://letterboxd.com//film/the-two-bills/
The Last Sharknado: It's About Time,2.5,2.02,0.48,6926,"['Comedy', 'Action', 'Science Fiction', 'TV Movie', 'Horror']",USA,https://letterboxd.com//film/the-last-sharknado-its-about-time/
6-Headed Shark Attack,2.5,1.93,0.57,1889,"['Action', 'Horror', 'TV Movie', 'Science Fiction']",USA,https://letterboxd.com//film/6-headed-shark-attack/
Megalodon,2.5,2.02,0.48,2740,"['Science Fiction', 'Horror', 'TV Movie', 'Action']",USA,https://letterboxd.com//film/megalodon-2018/
Escape Plan: The Extractors,2.5,1.96,0.54,7784,"['Action', 'Thriller', 'Adventure', 'Crime']",China,https://letterboxd.com//film/escape-plan-the-extractors/
The Package,3.0,2.22,0.78,37410,['Comedy'],USA,https://letterboxd.com//film/the-package-2018/
"Game Over, Man!",4.0,2.39,1.61,33500,"['Action', 'Comedy']",USA,https://letterboxd.com//film/game-over-man/
How It Ends,2.0,2.03,-0.03,25010,"['Adventure', 'Science Fiction', 'Thriller', 'Action', 'Mystery']",Canada,https://letterboxd.com//film/how-it-ends/
Baaghi 2,3.0,2.35,0.65,2115,"['Mystery', 'Adventure', 'Action', 'Crime', 'Thriller']",India,https://letterboxd.com//film/baaghi-2/
The Cloverfield Paradox,2.5,2.24,0.26,117975,"['Horror', 'Science Fiction', 'Action']",USA,https://letterboxd.com//film/the-cloverfield-paradox/
Captain Marvel,2.5,2.7,-0.2,993111,"['Science Fiction', 'Action', 'Adventure']",USA,https://letterboxd.com//film/captain-marvel/
The Jurassic Games,2.5,2.01,0.49,2419,"['Action', 'Horror', 'Science Fiction']",USA,https://letterboxd.com//film/the-jurassic-games/
I See You,3.5,3.16,0.34,92000,"['Horror', 'Thriller']",USA,https://letterboxd.com//film/i-see-you-2019/
Hereditary,4.5,3.97,0.53,1436576,"['Thriller', 'Horror', 'Mystery']",USA,https://letterboxd.com//film/hereditary/
Race 3,2.5,1.53,0.97,2674,"['Adventure', 'Crime', 'Action', 'Thriller']",India,https://letterboxd.com//film/race-3/
Creed II,4.0,3.52,0.48,247034,"['Drama', 'Action']",USA,https://letterboxd.com//film/creed-ii/
42 to 1,3.5,3.43,0.07,933,['Documentary'],USA,https://letterboxd.com//film/42-to-1/
Jurassic World: Fallen Kingdom,3.5,2.57,0.93,411755,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",USA,https://letterboxd.com//film/jurassic-world-fallen-kingdom/
The Last Days of Knight,3.5,3.5,0.0,466,['Documentary'],USA,https://letterboxd.com//film/the-last-days-of-knight/
Mamma Mia! Here We Go Again,3.0,3.42,-0.42,351369,"['Comedy', 'Romance']",UK,https://letterboxd.com//film/mamma-mia-here-we-go-again/
Ant-Man and the Wasp,4.0,2.9,1.1,730854,"['Adventure', 'Action', 'Science Fiction']",USA,https://letterboxd.com//film/ant-man-and-the-wasp/
Rampage,2.5,2.36,0.14,126914,"['Action', 'Adventure', 'Science Fiction']",USA,https://letterboxd.com//film/rampage-2018/
The Babysitter,1.0,2.72,-1.72,225921,"['Horror', 'Comedy']",USA,https://letterboxd.com//film/the-babysitter-2017/
Inferno,3.5,2.58,0.92,98038,"['Thriller', 'Mystery', 'Action']",USA,https://letterboxd.com//film/inferno-2016/
Split,3.5,3.46,0.04,955360,"['Thriller', 'Horror']",USA,https://letterboxd.com//film/split-2016/
Sharknado 5: Global Swarming,2.5,1.97,0.53,8869,"['Comedy', 'Science Fiction', 'Action', 'TV Movie', 'Horror']",USA,https://letterboxd.com//film/sharknado-5-global-swarming/
Independence Day: Resurgence,3.5,2.02,1.48,91197,"['Action', 'Science Fiction', 'Adventure']",USA,https://letterboxd.com//film/independence-day-resurgence/
Jumanji: Welcome to the Jungle,3.5,3.07,0.43,568882,"['Fantasy', 'Adventure', 'Comedy']",USA,https://letterboxd.com//film/jumanji-welcome-to-the-jungle/
Ice Sharks,2.0,2.07,-0.07,974,"['Action', 'Science Fiction', 'Horror', 'TV Movie', 'Adventure']",USA,https://letterboxd.com//film/ice-sharks/
The Nice Guys,4.5,3.82,0.68,729165,"['Action', 'Comedy', 'Crime']",USA,https://letterboxd.com//film/the-nice-guys/
Arrival,4.5,4.12,0.38,1367438,"['Science Fiction', 'Mystery', 'Drama']",USA,https://letterboxd.com//film/arrival-2016/
Skiptrace,3.0,2.46,0.54,7608,"['Thriller', 'Action', 'Mystery', 'Comedy']",China,https://letterboxd.com//film/skiptrace/
The Shallows,3.0,2.92,0.08,133274,"['Thriller', 'Horror', 'Drama']",Australia,https://letterboxd.com//film/the-shallows/
Murder on the Orient Express,3.5,3.05,0.45,352343,"['Crime', 'Mystery', 'Drama']",UK,https://letterboxd.com//film/murder-on-the-orient-express-2017/
Jack Reacher: Never Go Back,3.5,2.59,0.91,68959,"['Thriller', 'Action']",China,https://letterboxd.com//film/jack-reacher-never-go-back/
War Dogs,4.0,3.38,0.62,247280,"['Comedy', 'Drama', 'Crime']",USA,https://letterboxd.com//film/war-dogs-2016/
Terrifier,3.0,2.43,0.57,205233,"['Horror', 'Thriller']",USA,https://letterboxd.com//film/terrifier-2016/
Rogue One: A Star Wars Story,4.0,3.71,0.29,932064,"['Adventure', 'Science Fiction', 'Action']",USA,https://letterboxd.com//film/rogue-one-a-star-wars-story/
Geostorm,2.5,2.0,0.5,67640,"['Science Fiction', 'Thriller', 'Action']",Canada,https://letterboxd.com//film/geostorm/
John Wick: Chapter 2,3.5,3.69,-0.19,662291,"['Crime', 'Action', 'Thriller']",USA,https://letterboxd.com//film/john-wick-chapter-2/
Shimmer Lake,3.5,2.98,0.52,11051,"['Drama', 'Thriller', 'Crime', 'Mystery']",Canada,https://letterboxd.com//film/shimmer-lake/
Now You See Me 2,4.0,2.92,1.08,317613,"['Thriller', 'Mystery', 'Action', 'Crime']",Hong Kong,https://letterboxd.com//film/now-you-see-me-2/
Happy Death Day,3.5,3.01,0.49,338522,"['Mystery', 'Thriller', 'Horror', 'Comedy']",USA,https://letterboxd.com//film/happy-death-day/
The Ritual,3.0,3.18,-0.18,203161,"['Horror', 'Mystery', 'Thriller']",Canada,https://letterboxd.com//film/the-ritual-2017/
47 Meters Down,2.5,2.45,0.05,65615,"['Horror', 'Adventure', 'Thriller']",Dominican Republic,https://letterboxd.com//film/47-meters-down/
The Foreigner,3.0,3.16,-0.16,53391,"['Action', 'Thriller']",China,https://letterboxd.com//film/the-foreigner-2017/
Kong: Skull Island,3.0,3.06,-0.06,390755,"['Action', 'Adventure', 'Fantasy']",China,https://letterboxd.com//film/kong-skull-island/
You Were Never Really Here,2.5,3.7,-1.2,217741,"['Drama', 'Thriller', 'Crime']",France,https://letterboxd.com//film/you-were-never-really-here/
Kingsman: The Golden Circle,4.0,3.11,0.89,427489,"['Adventure', 'Action', 'Comedy']",UK,https://letterboxd.com//film/kingsman-the-golden-circle/
First Kill,2.0,2.29,-0.29,3248,"['Action', 'Crime', 'Thriller']",USA,https://letterboxd.com//film/first-kill-2017/
Spider-Man: Homecoming,4.5,3.47,1.03,1464874,"['Action', 'Drama', 'Adventure', 'Science Fiction']",USA,https://letterboxd.com//film/spider-man-homecoming/
It,3.5,3.43,0.07,1300902,['Horror'],USA,https://letterboxd.com//film/it-2017/
Dunkirk,4.0,3.77,0.23,1157306,"['Action', 'Drama', 'War']",UK,https://letterboxd.com//film/dunkirk-2017/
Wind River,4.0,3.83,0.17,221827,"['Thriller', 'Drama', 'Mystery', 'Crime']",France,https://letterboxd.com//film/wind-river-2017/
Geo-Disaster,2.5,2.62,-0.12,303,"['Science Fiction', 'Action', 'TV Movie']",USA,https://letterboxd.com//film/geo-disaster/
Scooby-Doo! Shaggy's Showdown,4.0,3.07,0.93,2810,"['Comedy', 'Family', 'Mystery', 'Western', 'Animation']",USA,https://letterboxd.com//film/scooby-doo-shaggys-showdown/
Hangman,3.5,2.17,1.33,7720,"['Mystery', 'Crime', 'Thriller']",USA,https://letterboxd.com//film/hangman-2017/
Golmaal Again,2.5,2.25,0.25,3013,"['Comedy', 'Fantasy', 'Horror', 'Action']",India,https://letterboxd.com//film/golmaal-again/
Escape Room,2.0,1.7,0.3,11528,"['Horror', 'Thriller']",USA,https://letterboxd.com//film/escape-room-2017/
House Shark,2.5,2.0,0.5,1701,"['Horror', 'Comedy']",USA,https://letterboxd.com//film/house-shark/
Empire of the Sharks,1.5,2.47,-0.97,486,"['Science Fiction', 'Horror', 'Action']",USA,https://letterboxd.com//film/empire-of-the-sharks/
5 Headed Shark Attack,2.5,1.75,0.75,1955,"['Horror', 'Science Fiction']",USA,https://letterboxd.com//film/5-headed-shark-attack/
The Conjuring 2,4.5,3.35,1.15,400380,['Horror'],USA,https://letterboxd.com//film/the-conjuring-2/
Kidnap,3.0,2.53,0.47,17215,"['Drama', 'Thriller']",UK,https://letterboxd.com//film/kidnap-2017/
Baaghi,3.0,2.51,0.49,3265,"['Romance', 'Action', 'Thriller', 'Adventure']",India,https://letterboxd.com//film/baaghi-2016/
USS Indianapolis: Men of Courage,4.0,2.27,1.73,5111,"['Action', 'War']",USA,https://letterboxd.com//film/uss-indianapolis-men-of-courage/
Believeland,4.0,3.43,0.57,978,['Documentary'],USA,https://letterboxd.com//film/believeland/
The Hitman's Bodyguard,3.5,3.03,0.47,139916,"['Comedy', 'Action']",Bulgaria,https://letterboxd.com//film/the-hitmans-bodyguard/
Scooby-Doo! and WWE: Curse of the Speed Demon,3.5,2.72,0.78,3361,"['Family', 'Mystery', 'Animation', 'Comedy']",USA,https://letterboxd.com//film/scooby-doo-and-wwe-curse-of-the-speed-demon/
Snowden,4.0,3.23,0.77,91374,"['Crime', 'Thriller', 'Drama', 'History']",Germany,https://letterboxd.com//film/snowden/
True Memoirs of an International Assassin,3.0,2.32,0.68,11355,"['Action', 'Comedy']",USA,https://letterboxd.com//film/true-memoirs-of-an-international-assassin/
A Kind of Murder,3.5,2.5,1.0,2541,"['Crime', 'Drama', 'Thriller']",USA,https://letterboxd.com//film/a-kind-of-murder/
Planet of the Sharks,1.5,1.95,-0.45,1029,"['Horror', 'Science Fiction', 'Action']",USA,https://letterboxd.com//film/planet-of-the-sharks/
Marauders,3.0,2.44,0.56,4925,"['Thriller', 'Crime', 'Action']",Canada,https://letterboxd.com//film/marauders-2016/
Ittefaq,3.5,3.29,0.21,4272,"['Thriller', 'Mystery', 'Crime']",India,https://letterboxd.com//film/ittefaq/
Sultan,3.0,3.14,-0.14,7812,"['Action', 'Drama', 'Romance']",India,https://letterboxd.com//film/sultan-2016/
I Am Wrath,1.0,2.22,-1.22,3505,"['Drama', 'Thriller', 'Action', 'Crime']",USA,https://letterboxd.com//film/i-am-wrath/
Get Out,5.0,4.16,0.84,2244006,"['Horror', 'Mystery', 'Thriller']",USA,https://letterboxd.com//film/get-out-2017/
The Snowman,2.5,1.83,0.67,48372,"['Crime', 'Thriller']",China,https://letterboxd.com//film/the-snowman-2017/
Annabelle: Creation,3.0,2.93,0.07,170959,['Horror'],USA,https://letterboxd.com//film/annabelle-creation/
Time Trap,3.5,2.59,0.91,20562,"['Adventure', 'Science Fiction']",USA,https://letterboxd.com//film/time-trap-2017/
Star Wars: The Last Jedi,3.5,2.98,0.52,1002714,"['Adventure', 'Action', 'Science Fiction']",USA,https://letterboxd.com//film/star-wars-the-last-jedi/
Thor: Ragnarok,4.5,3.73,0.77,1391150,"['Adventure', 'Action', 'Science Fiction']",USA,https://letterboxd.com//film/thor-ragnarok/
The Recall,2.5,1.88,0.62,1491,"['Science Fiction', 'Horror']",Canada,https://letterboxd.com//film/the-recall/
Doctor Strange,4.0,3.44,0.56,1193104,"['Action', 'Adventure', 'Fantasy']",USA,https://letterboxd.com//film/doctor-strange-2016/
Guardians of the Galaxy Vol. 2,4.0,3.51,0.49,1219282,"['Action', 'Science Fiction', 'Adventure']",USA,https://letterboxd.com//film/guardians-of-the-galaxy-vol-2/
Central Intelligence,3.0,2.65,0.35,167322,"['Crime', 'Mystery', 'Comedy', 'Action']",China,https://letterboxd.com//film/central-intelligence/
2:22,3.5,2.46,1.04,7306,"['Romance', 'Thriller', 'Science Fiction', 'Mystery']",Australia,https://letterboxd.com//film/2-22-2017/
Sharknado 4: The 4th Awakens,2.5,1.93,0.57,10358,"['Comedy', 'Science Fiction']",USA,https://letterboxd.com//film/sharknado-4-the-4th-awakens/
The Mummy,2.5,1.87,0.63,129815,"['Action', 'Horror', 'Fantasy', 'Adventure', 'Thriller']",China,https://letterboxd.com//film/the-mummy-2017/
Captain America: Civil War,5.0,3.57,1.43,1188158,"['Action', 'Science Fiction', 'Adventure']",USA,https://letterboxd.com//film/captain-america-civil-war/
The Gift,3.5,3.34,0.16,141315,"['Mystery', 'Drama', 'Thriller']",Australia,https://letterboxd.com//film/the-gift-2015-1/
The Interview,4.5,2.94,1.56,311262,"['Comedy', 'Action']",USA,https://letterboxd.com//film/the-interview-2014/
The Invitation,3.5,3.32,0.18,175021,"['Thriller', 'Horror']",USA,https://letterboxd.com//film/the-invitation-2015/
Self/less,3.5,2.74,0.76,27800,"['Science Fiction', 'Thriller', 'Action', 'Mystery']",USA,https://letterboxd.com//film/self-less/
Night at the Museum: Secret of the Tomb,3.0,2.74,0.26,135400,"['Comedy', 'Family', 'Adventure', 'Fantasy']",UK,https://letterboxd.com//film/night-at-the-museum-secret-of-the-tomb/
Terminator Genisys,2.5,2.19,0.31,115228,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",Canada,https://letterboxd.com//film/terminator-genisys/
Tomorrowland,2.5,2.63,-0.13,129473,"['Science Fiction', 'Adventure', 'Mystery', 'Family']",USA,https://letterboxd.com//film/tomorrowland/
Four Falls of Buffalo,4.0,3.72,0.28,2462,['Documentary'],USA,https://letterboxd.com//film/four-falls-of-buffalo/
John Wick,4.0,3.8,0.2,1023512,"['Action', 'Thriller']",USA,https://letterboxd.com//film/john-wick/
Gone Girl,4.0,4.07,-0.07,1718697,"['Drama', 'Thriller', 'Mystery']",USA,https://letterboxd.com//film/gone-girl/
A Walk Among the Tombstones,3.5,3.04,0.46,33205,"['Drama', 'Thriller', 'Crime', 'Mystery']",USA,https://letterboxd.com//film/a-walk-among-the-tombstones/
Annabelle,3.5,2.36,1.14,224150,['Horror'],USA,https://letterboxd.com//film/annabelle/
Avengers: Age of Ultron,4.0,3.09,0.91,1059052,"['Action', 'Adventure', 'Science Fiction']",USA,https://letterboxd.com//film/avengers-age-of-ultron/
Interstellar,5.0,4.34,0.66,2356133,"['Science Fiction', 'Drama', 'Adventure']",UK,https://letterboxd.com//film/interstellar/
Insurgent,2.5,2.39,0.11,186621,"['Action', 'Science Fiction', 'Adventure', 'Thriller']",Canada,https://letterboxd.com//film/insurgent/
The SpongeBob Movie: Sponge Out of Water,3.0,2.64,0.36,92472,"['Family', 'Adventure', 'Fantasy', 'Comedy', 'Animation']",Australia,https://letterboxd.com//film/the-spongebob-movie-sponge-out-of-water/
Zoolander 2,3.5,2.08,1.42,80579,"['Action', 'Adventure', 'Comedy']",USA,https://letterboxd.com//film/zoolander-2/
Inside Out,4.5,3.82,0.68,1470425,"['Comedy', 'Family', 'Animation', 'Adventure', 'Drama']",USA,https://letterboxd.com//film/inside-out-2015/
Paddington,4.0,3.79,0.21,422144,"['Family', 'Adventure', 'Comedy']",France,https://letterboxd.com//film/paddington/
Kingsman: The Secret Service,4.5,3.72,0.78,782564,"['Comedy', 'Crime', 'Adventure', 'Action']",UK,https://letterboxd.com//film/kingsman-the-secret-service/
Bajrangi Bhaijaan,3.5,3.7,-0.2,15728,"['Drama', 'Comedy', 'Action']",India,https://letterboxd.com//film/bajrangi-bhaijaan/
The Martian,4.0,3.74,0.26,966098,"['Drama', 'Science Fiction', 'Adventure']",UK,https://letterboxd.com//film/the-martian/
Unfriended,3.5,2.29,1.21,169079,"['Horror', 'Thriller', 'Mystery']",USA,https://letterboxd.com//film/unfriended/
Krampus,3.0,2.9,0.1,131435,"['Comedy', 'Horror', 'Fantasy']",Canada,https://letterboxd.com//film/krampus/
Guardians of the Galaxy,4.5,3.78,0.72,1653322,"['Adventure', 'Action', 'Science Fiction']",USA,https://letterboxd.com//film/guardians-of-the-galaxy/
Deadpool,4.0,3.67,0.33,1433988,"['Action', 'Comedy', 'Adventure']",USA,https://letterboxd.com//film/deadpool/
Circle,3.0,2.56,0.44,120459,"['Thriller', 'Mystery', 'Science Fiction', 'Horror', 'Drama']",USA,https://letterboxd.com//film/circle-2015/
The Imitation Game,4.5,3.79,0.71,673544,"['Drama', 'Thriller', 'War', 'History']",USA,https://letterboxd.com//film/the-imitation-game/
Ant-Man,4.5,3.23,1.27,965031,"['Adventure', 'Science Fiction', 'Action']",USA,https://letterboxd.com//film/ant-man/
The Hateful Eight,3.5,3.94,-0.44,746227,"['Mystery', 'Western', 'Drama']",USA,https://letterboxd.com//film/the-hateful-eight/
Creed,4.0,3.81,0.19,409620,"['Action', 'Drama']",USA,https://letterboxd.com//film/creed/
Jurassic World,4.0,3.01,0.99,672386,"['Adventure', 'Science Fiction', 'Thriller', 'Action']",USA,https://letterboxd.com//film/jurassic-world/
Kung Fu Panda 3,3.5,3.26,0.24,278113,"['Adventure', 'Comedy', 'Action', 'Animation', 'Family']",China,https://letterboxd.com//film/kung-fu-panda-3/
Minions,3.5,2.74,0.76,314434,"['Comedy', 'Adventure', 'Family', 'Animation']",USA,https://letterboxd.com//film/minions/
Fantastic Four,1.5,1.31,0.19,162926,"['Science Fiction', 'Adventure', 'Action']",UK,https://letterboxd.com//film/fantastic-four/
Insidious: Chapter 3,3.0,2.55,0.45,110146,"['Horror', 'Thriller', 'Mystery']",Canada,https://letterboxd.com//film/insidious-chapter-3/
The Visit,3.5,3.06,0.44,221988,"['Thriller', 'Horror', 'Mystery']",Japan,https://letterboxd.com//film/the-visit-2015/
Star Wars: The Force Awakens,3.5,3.32,0.18,1140632,"['Action', 'Adventure', 'Science Fiction']",USA,https://letterboxd.com//film/star-wars-the-force-awakens/
Scooby-Doo! Moon Monster Madness,4.0,3.08,0.92,3444,"['Adventure', 'Mystery', 'Comedy', 'Animation', 'Family', 'Science Fiction']",USA,https://letterboxd.com//film/scooby-doo-moon-monster-madness/
Bāhubali: The Beginning,3.5,3.46,0.04,25710,"['Adventure', 'Fantasy', 'Action']",India,https://letterboxd.com//film/bahubali-the-beginning/
Scooby-Doo! Frankencreepy,4.5,3.18,1.32,4641,"['Animation', 'Comedy', 'Mystery', 'Family', 'Science Fiction']",USA,https://letterboxd.com//film/scooby-doo-frankencreepy/
Drishyam,4.0,3.75,0.25,11886,"['Mystery', 'Crime', 'Thriller']",India,https://letterboxd.com//film/drishyam-2015/
Tremors 5: Bloodlines,2.5,2.37,0.13,6387,"['Horror', 'Comedy', 'Science Fiction', 'Adventure', 'Action']",USA,https://letterboxd.com//film/tremors-5-bloodlines/
Zapped,2.5,2.02,0.48,28404,"['TV Movie', 'Comedy', 'Family']",Canada,https://letterboxd.com//film/zapped-2014/
Talvar,4.0,3.75,0.25,7306,"['Mystery', 'Thriller', 'Drama']",India,https://letterboxd.com//film/talvar/
Happy New Year,3.5,2.69,0.81,13265,"['Crime', 'Comedy', 'Action']",India,https://letterboxd.com//film/happy-new-year-2014/
ABCD 2,2.5,2.44,0.06,2748,['Drama'],India,https://letterboxd.com//film/abcd-2/
Secret in Their Eyes,3.5,2.82,0.68,17382,"['Mystery', 'Drama', 'Crime', 'Thriller']",South Korea,https://letterboxd.com//film/secret-in-their-eyes/
3-Headed Shark Attack,2.5,1.71,0.79,2413,"['Horror', 'Science Fiction', 'Action']",USA,https://letterboxd.com//film/3-headed-shark-attack/
Singham Returns,3.5,2.41,1.09,3065,['Action'],India,https://letterboxd.com//film/singham-returns/
The Expendables 3,3.0,2.39,0.61,71922,"['Adventure', 'Thriller', 'Action']",Bulgaria,https://letterboxd.com//film/the-expendables-3/
