Title,User Rating,Letterboxd Rating,Rating Differential,Letterboxd Rating Count,Genres,Country of Origin,URL
Gaslight,2.5,2.72,-0.22,834,"['Thriller', 'Horror']",India,https://letterboxd.com//film/gaslight-2023/
The Rat Catcher,2.5,3.32,-0.82,127480,['Comedy'],USA,https://letterboxd.com//film/the-rat-catcher-2023/
Bholaa,2.5,2.75,-0.25,1797,"['Adventure', 'Crime', 'Thriller', 'Action']",India,https://letterboxd.com//film/bholaa/
White Men Can't Jump,3.0,2.65,0.35,32827,"['Comedy', 'Drama']",USA,https://letterboxd.com//film/white-men-cant-jump-2023/
Kisi Ka Bhai... Kisi Ki Jaan,1.5,2.07,-0.57,1800,"['Romance', 'Action']",India,https://letterboxd.com//film/kisi-ka-bhai-kisi-ki-jaan/
The Pope's Exorcist,2.0,2.55,-0.55,126330,"['Thriller', 'Horror']",USA,https://letterboxd.com//film/the-popes-exorcist/
Knock at the Cabin,3.5,2.89,0.61,322373,"['Mystery', 'Horror', 'Thriller']",Japan,https://letterboxd.com//film/knock-at-the-cabin/
Creed III,4.0,3.47,0.53,260653,"['Drama', 'Action']",USA,https://letterboxd.com//film/creed-iii/
Murder Mystery 2,3.5,2.44,1.06,158225,"['Comedy', 'Crime', 'Mystery']",USA,https://letterboxd.com//film/murder-mystery-2/
The Pale Blue Eye,3.0,3.05,-0.05,142196,"['Mystery', 'Thriller', 'Horror', 'Crime']",USA,https://letterboxd.com//film/the-pale-blue-eye/
Cocaine Bear,4.0,2.72,1.28,393392,"['Crime', 'Comedy', 'Thriller']",USA,https://letterboxd.com//film/cocaine-bear/
Air,3.5,3.56,-0.06,385043,['Drama'],USA,https://letterboxd.com//film/air-2023/
Past Lives,4.5,4.19,0.31,871731,"['Drama', 'Romance']",South Korea,https://letterboxd.com//film/past-lives/
MH370: The Plane That Disappeared,3.0,2.67,0.33,8675,['Documentary'],UK,https://letterboxd.com//film/mh370-the-plane-that-disappeared/
Chor Nikal Ke Bhaga,3.0,2.89,0.11,4079,"['Thriller', 'Crime']",India,https://letterboxd.com//film/chor-nikal-ke-bhaga/
Pathaan,3.5,2.91,0.59,23615,"['Adventure', 'Drama', 'Action', 'Thriller']",India,https://letterboxd.com//film/pathaan/
House Party,3.5,2.36,1.14,13522,['Comedy'],USA,https://letterboxd.com//film/house-party-2023/
Flamin' Hot,2.0,2.9,-0.9,44646,"['Comedy', 'Drama']",USA,https://letterboxd.com//film/flamin-hot/
Govinda Naam Mera,3.5,2.97,0.53,1901,"['Drama', 'Romance', 'Comedy']",India,https://letterboxd.com//film/govinda-naam-mera/
Scream VI,4.0,3.39,0.61,495014,"['Crime', 'Horror', 'Thriller']",USA,https://letterboxd.com//film/scream-vi/
Ant-Man and the Wasp: Quantumania,3.0,2.27,0.73,561032,"['Adventure', 'Science Fiction', 'Action']",USA,https://letterboxd.com//film/ant-man-and-the-wasp-quantumania/
Smile,3.5,2.83,0.67,556368,"['Horror', 'Mystery', 'Thriller']",USA,https://letterboxd.com//film/smile-2022/
Top Gun: Maverick,4.5,3.99,0.51,1162884,"['Action', 'Drama']",USA,https://letterboxd.com//film/top-gun-maverick/
The Blackening,4.0,3.1,0.9,70298,"['Horror', 'Comedy']",USA,https://letterboxd.com//film/the-blackening/
Morbius,2.5,1.6,0.9,274936,"['Science Fiction', 'Action', 'Fantasy']",USA,https://letterboxd.com//film/morbius/
Bodies Bodies Bodies,4.5,3.33,1.17,637663,"['Mystery', 'Horror', 'Comedy']",USA,https://letterboxd.com//film/bodies-bodies-bodies/
Werewolf by Night,4.0,3.48,0.52,176940,"['Fantasy', 'Horror', 'Action']",USA,https://letterboxd.com//film/werewolf-by-night/
Moon Knight,4.0,3.56,0.44,296045,['Mystery'],USA,https://letterboxd.com//film/moon-knight-2022/
Ms. Marvel,4.0,2.89,1.11,112861,['Comedy'],USA,https://letterboxd.com//film/ms-marvel/
She-Hulk: Attorney at Law,3.5,2.38,1.12,128340,['Comedy'],USA,https://letterboxd.com//film/she-hulk-attorney-at-law/
Talk to Me,4.0,3.57,0.43,716645,"['Horror', 'Thriller']",Australia,https://letterboxd.com//film/talk-to-me-2022/
Minions: The Rise of Gru,3.5,3.16,0.34,363189,"['Family', 'Animation', 'Comedy']",USA,https://letterboxd.com//film/minions-the-rise-of-gru/
Amsterdam,3.0,2.54,0.46,192160,"['Mystery', 'Comedy', 'Drama']",USA,https://letterboxd.com//film/amsterdam-2022/
Doctor Strange in the Multiverse of Madness,3.5,2.96,0.54,1237165,"['Fantasy', 'Adventure', 'Action']",USA,https://letterboxd.com//film/doctor-strange-in-the-multiverse-of-madness/
Babylon,2.5,3.82,-1.32,592533,"['Comedy', 'Drama']",USA,https://letterboxd.com//film/babylon-2022/
The Guardians of the Galaxy Holiday Special,3.5,3.25,0.25,221082,"['Science Fiction', 'Comedy', 'Adventure']",USA,https://letterboxd.com//film/the-guardians-of-the-galaxy-holiday-special/
See How They Run,3.0,3.18,-0.18,211379,"['Comedy', 'Crime', 'Mystery']",UK,https://letterboxd.com//film/see-how-they-run-2022/
Day Shift,3.0,2.63,0.37,81132,"['Fantasy', 'Comedy', 'Horror', 'Action']",USA,https://letterboxd.com//film/day-shift-2022/
Skinamarink,3.0,2.86,0.14,142839,['Horror'],Canada,https://letterboxd.com//film/skinamarink/
All Quiet on the Western Front,4.5,3.99,0.51,566564,"['Action', 'Drama', 'War']",Germany,https://letterboxd.com//film/all-quiet-on-the-western-front-2022/
Thor: Love and Thunder,3.0,2.49,0.51,921513,"['Action', 'Fantasy', 'Comedy']",USA,https://letterboxd.com//film/thor-love-and-thunder/
The Menu,4.0,3.54,0.46,1664181,"['Comedy', 'Thriller', 'Horror']",USA,https://letterboxd.com//film/the-menu-2022/
The Gray Man,3.5,2.72,0.78,316754,"['Thriller', 'Action']",USA,https://letterboxd.com//film/the-gray-man-2022/
Nope,4.0,3.72,0.28,1300268,"['Mystery', 'Science Fiction', 'Horror']",Japan,https://letterboxd.com//film/nope/
Bullet Train,3.5,3.54,-0.04,1053299,"['Thriller', 'Comedy', 'Action']",USA,https://letterboxd.com//film/bullet-train/
Hustle,3.5,3.54,-0.04,259185,"['Comedy', 'Drama']",USA,https://letterboxd.com//film/hustle-2022/
Groot Takes a Bath,3.5,3.28,0.22,20240,"['Comedy', 'Family', 'Science Fiction', 'Animation']",USA,https://letterboxd.com//film/groot-takes-a-bath/
Magnum Opus,3.0,3.4,-0.4,20065,"['Family', 'Science Fiction', 'Animation', 'Comedy']",USA,https://letterboxd.com//film/magnum-opus-2022/
The Little Guy,3.5,3.32,0.18,20390,"['Science Fiction', 'Comedy', 'Family', 'Animation']",USA,https://letterboxd.com//film/the-little-guy/
Phone Bhoot,2.5,2.82,-0.32,1589,"['Horror', 'Comedy']",India,https://letterboxd.com//film/phone-bhoot/
American Murderer,1.0,2.97,-1.97,644,"['Drama', 'Crime']",USA,https://letterboxd.com//film/american-murderer/
Groot's First Steps,3.0,3.05,-0.05,23134,"['Science Fiction', 'Animation', 'Comedy', 'Family']",USA,https://letterboxd.com//film/groots-first-steps/
The Weekend Away,3.0,2.38,0.62,42653,"['Thriller', 'Mystery']",UK,https://letterboxd.com//film/the-weekend-away/
Cuttputlli,3.5,2.7,0.8,1295,"['Crime', 'Mystery', 'Thriller', 'Drama']",India,https://letterboxd.com//film/cuttputlli/
Spiderhead,1.0,2.5,-1.5,125800,"['Science Fiction', 'Thriller']",USA,https://letterboxd.com//film/spiderhead/
Thank God,3.0,2.52,0.48,1577,['Comedy'],India,https://letterboxd.com//film/thank-god/
Dobaaraa,3.5,3.17,0.33,2212,"['Mystery', 'Science Fiction', 'Thriller']",India,https://letterboxd.com//film/dobaaraa/
Drishyam 2,4.0,3.58,0.42,6784,"['Drama', 'Thriller', 'Mystery', 'Crime']",India,https://letterboxd.com//film/drishyam-2-2022/
Groot's Pursuit,3.5,3.12,0.38,19418,"['Family', 'Comedy', 'Animation', 'Science Fiction']",USA,https://letterboxd.com//film/groots-pursuit/
"Monica, O My Darling",3.5,3.5,0.0,10244,"['Drama', 'Mystery', 'Comedy', 'Crime']",India,https://letterboxd.com//film/monica-o-my-darling/
Me Time,3.0,2.01,0.99,36064,['Comedy'],USA,https://letterboxd.com//film/me-time-2022/
Last Seen Alive,3.0,2.28,0.72,16881,"['Action', 'Thriller']",USA,https://letterboxd.com//film/last-seen-alive/
Glass Onion,4.0,3.46,0.54,1587327,"['Comedy', 'Crime', 'Mystery']",USA,https://letterboxd.com//film/glass-onion/
Bhool Bhulaiyaa 2,3.0,2.47,0.53,6180,"['Horror', 'Comedy']",India,https://letterboxd.com//film/bhool-bhulaiyaa-2/
The Good Nurse,3.0,3.21,-0.21,123426,"['Drama', 'Mystery', 'Crime']",USA,https://letterboxd.com//film/the-good-nurse/
HIT: The First Case,3.5,2.99,0.51,1557,"['Thriller', 'Drama', 'Mystery', 'Crime']",India,https://letterboxd.com//film/hit-the-first-case-2022/
The Unbearable Weight of Massive Talent,4.0,3.43,0.57,321851,"['Action', 'Crime', 'Comedy']",USA,https://letterboxd.com//film/the-unbearable-weight-of-massive-talent/
The Batman,4.0,3.98,0.02,2155442,"['Crime', 'Mystery', 'Thriller']",USA,https://letterboxd.com//film/the-batman/
Everything Everywhere All at Once,4.5,4.31,0.19,2279606,"['Science Fiction', 'Action', 'Adventure']",USA,https://letterboxd.com//film/everything-everywhere-all-at-once/
Gone in the Night,2.0,2.25,-0.25,9767,"['Drama', 'Mystery', 'Thriller']",USA,https://letterboxd.com//film/gone-in-the-night-2022/
Spider-Man: No Way Home,4.5,3.85,0.65,1960152,"['Action', 'Adventure', 'Science Fiction']",USA,https://letterboxd.com//film/spider-man-no-way-home/
Eternals,4.0,2.75,1.25,735673,"['Action', 'Science Fiction', 'Adventure']",Canada,https://letterboxd.com//film/eternals/
Don't Look Up,3.0,3.0,0.0,1445823,"['Science Fiction', 'Comedy', 'Drama']",USA,https://letterboxd.com//film/dont-look-up-2021/
Hawkeye,4.0,3.34,0.66,237948,"['Drama', 'Comedy']",USA,https://letterboxd.com//film/hawkeye-2021/
Turning Red,3.0,3.53,-0.53,733312,"['Family', 'Comedy', 'Fantasy', 'Animation']",USA,https://letterboxd.com//film/turning-red/
Scream,4.0,3.21,0.79,524987,"['Thriller', 'Mystery', 'Horror']",USA,https://letterboxd.com//film/scream-2022/
Death on the Nile,3.0,2.66,0.34,292788,"['Crime', 'Thriller', 'Mystery']",UK,https://letterboxd.com//film/death-on-the-nile-2022/
Red Notice,4.0,2.43,1.57,290502,"['Comedy', 'Action', 'Crime']",USA,https://letterboxd.com//film/red-notice/
The Black Phone,3.5,3.26,0.24,605906,"['Thriller', 'Crime', 'Drama', 'Horror']",USA,https://letterboxd.com//film/the-black-phone/
No Time to Die,3.5,3.49,0.01,538839,"['Action', 'Adventure', 'Thriller']",UK,https://letterboxd.com//film/no-time-to-die-2021/
Don't Worry Darling,3.5,2.95,0.55,778027,"['Thriller', 'Drama', 'Mystery']",USA,https://letterboxd.com//film/dont-worry-darling/
The Man from Toronto,3.0,2.39,0.61,45791,"['Action', 'Adventure', 'Comedy']",Canada,https://letterboxd.com//film/the-man-from-toronto-2022/
Black Panther: Wakanda Forever,4.0,3.36,0.64,764443,"['Adventure', 'Science Fiction', 'Action']",USA,https://letterboxd.com//film/black-panther-wakanda-forever/
Jurassic World Dominion,3.0,2.19,0.81,330235,"['Adventure', 'Action', 'Science Fiction']",USA,https://letterboxd.com//film/jurassic-world-dominion/
Blonde,1.0,2.05,-1.05,201968,['Drama'],USA,https://letterboxd.com//film/blonde-2022/
Brazen,2.0,1.65,0.35,8779,"['Mystery', 'Drama', 'Thriller']",USA,https://letterboxd.com//film/brazen/
No One Gets Out Alive,3.0,2.39,0.61,29314,"['Mystery', 'Thriller', 'Horror']",Romania,https://letterboxd.com//film/no-one-gets-out-alive/
Sooryavanshi,3.0,2.36,0.64,4553,"['Action', 'Crime', 'Thriller']",India,https://letterboxd.com//film/sooryavanshi/
Heropanti 2,2.5,2.15,0.35,1018,"['Romance', 'Drama', 'Action']",India,https://letterboxd.com//film/heropanti-2/
Operation Mincemeat,3.5,3.12,0.38,31072,"['Drama', 'War', 'History']",Spain,https://letterboxd.com//film/operation-mincemeat-2022/
Runway 34,3.5,3.02,0.48,2750,"['Thriller', 'Drama']",India,https://letterboxd.com//film/runway-34/
The King's Man,3.5,2.76,0.74,231515,"['Thriller', 'Adventure', 'Comedy', 'Action']",UK,https://letterboxd.com//film/the-kings-man/
Downfall: The Case Against Boeing,3.0,3.4,-0.4,12149,['Documentary'],USA,https://letterboxd.com//film/downfall-the-case-against-boeing/
Untold: Malice at the Palace,4.0,3.56,0.44,14693,"['Crime', 'Documentary']",USA,https://letterboxd.com//film/untold-malice-at-the-palace/
Spenser Confidential,3.5,2.44,1.06,56657,"['Thriller', 'Comedy', 'Action']",USA,https://letterboxd.com//film/spenser-confidential/
Venom: Let There Be Carnage,3.0,2.48,0.52,468733,"['Adventure', 'Science Fiction', 'Action']",USA,https://letterboxd.com//film/venom-let-there-be-carnage/
Jumanji: The Next Level,3.5,2.85,0.65,305940,"['Adventure', 'Fantasy', 'Comedy']",USA,https://letterboxd.com//film/jumanji-the-next-level/
WandaVision,4.0,3.75,0.25,527774,"['Mystery', 'Drama']",USA,https://letterboxd.com//film/wandavision/
Old,3.5,2.43,1.07,416194,"['Thriller', 'Mystery', 'Horror']",China,https://letterboxd.com//film/old-2021/
Scary Stories to Tell in the Dark,4.0,2.75,1.25,170253,"['Horror', 'Thriller']",Canada,https://letterboxd.com//film/scary-stories-to-tell-in-the-dark-2019/
Spree,1.0,3.1,-2.1,214439,"['Horror', 'Comedy', 'Crime']",USA,https://letterboxd.com//film/spree-2020/
Fractured,3.5,2.93,0.57,116930,['Thriller'],USA,https://letterboxd.com//film/fractured-2019/
Just Mercy,4.0,3.8,0.2,82579,"['Drama', 'History', 'Crime']",USA,https://letterboxd.com//film/just-mercy/
The Guilty,3.0,2.87,0.13,284912,"['Drama', 'Thriller']",USA,https://letterboxd.com//film/the-guilty-2021/
Ford v Ferrari,4.5,3.95,0.55,539054,"['Drama', 'Action', 'History']",USA,https://letterboxd.com//film/ford-v-ferrari/
The Rental,3.0,2.65,0.35,70064,"['Mystery', 'Thriller', 'Horror']",USA,https://letterboxd.com//film/the-rental/
Zombieland: Double Tap,3.0,2.99,0.01,309814,"['Horror', 'Comedy']",USA,https://letterboxd.com//film/zombieland-double-tap/
The Night Clerk,2.0,2.38,-0.38,18132,"['Thriller', 'Crime', 'Drama']",USA,https://letterboxd.com//film/the-night-clerk-2020/
Loki,4.5,3.77,0.73,425211,['Drama'],USA,https://letterboxd.com//film/loki-2021/
A Classic Horror Story,3.0,2.73,0.27,52030,"['Mystery', 'Horror']",Italy,https://letterboxd.com//film/a-classic-horror-story/
