,Title,User Rating,Letterboxd Rating,Letterboxd Rating Count,Genres,Country of Origin
69,Harry Potter and the Philosopher's Stone,4.0,3.79,827129,"['Fantasy', 'Adventure']",UK
70,The Others,4.5,3.72,168943,"['Thriller', 'Horror', 'Mystery']",France
71,Murder by Numbers,4.0,2.81,15081,"['Drama', 'Thriller', 'Crime']",USA
72,Rush Hour 2,4.5,3.25,96976,"['Comedy', 'Action', 'Crime']",USA
73,Unbreakable,4.5,3.66,251554,"['Drama', 'Mystery', 'Thriller']",USA
74,Harry Potter and the Goblet of Fire,4.0,3.81,705495,"['Fantasy', 'Family', 'Adventure']",UK
75,Harry Potter and the Chamber of Secrets,4.0,3.63,710440,"['Adventure', 'Fantasy']",UK
76,Cast Away,3.5,3.8,310265,"['Adventure', 'Drama']",USA
77,Swordfish,4.0,2.64,33400,"['Action', 'Crime', 'Thriller']",Australia
78,Remember the Titans,4.0,3.73,100698,['Drama'],USA
79,X-Men,4.0,3.32,292559,"['Adventure', 'Action', 'Science Fiction']",USA
80,The Art of War,4.0,2.47,4501,"['Action', 'Adventure', 'Crime']",Canada
81,What Lies Beneath,4.0,3.1,39510,"['Horror', 'Mystery', 'Thriller', 'Drama']",USA
82,Blue Streak,4.0,2.96,21839,"['Crime', 'Comedy', 'Action']",Germany
83,The Sixth Sense,4.5,3.97,430231,"['Drama', 'Mystery', 'Thriller']",USA
84,A Murder of Crows,4.0,2.7,1193,"['Action', 'Crime', 'Thriller']",USA
85,True Crime,4.0,3.1,7993,"['Drama', 'Mystery', 'Crime', 'Action', 'Thriller']",USA
86,Blade,4.0,3.4,145789,"['Horror', 'Action']",USA
87,Star Wars: Episode I - The Phantom Menace,4.0,2.83,632542,"['Action', 'Science Fiction', 'Adventure']",USA
88,Rush Hour,5.0,3.47,160999,"['Comedy', 'Crime', 'Action']",USA
89,I Know What You Did Last Summer,4.5,2.95,120497,"['Thriller', 'Mystery', 'Horror']",USA
90,Face/Off,5.0,3.45,144528,"['Science Fiction', 'Thriller', 'Crime', 'Action']",USA
91,Snake Eyes,4.0,3.24,39414,"['Crime', 'Thriller', 'Mystery']",Canada
92,The Game,4.5,3.7,235741,"['Thriller', 'Drama', 'Mystery']",USA
93,The Fifth Element,3.5,3.71,212473,"['Science Fiction', 'Adventure', 'Action', 'Thriller', 'Fantasy']",France
94,Con Air,4.0,3.35,99509,"['Thriller', 'Action', 'Crime']",USA
95,Mission: Impossible,4.5,3.54,245527,"['Adventure', 'Action', 'Thriller']",USA
96,Scream,5.0,4.09,621945,"['Crime', 'Mystery', 'Horror']",USA
97,The Lost World: Jurassic Park,4.0,3.07,238041,"['Science Fiction', 'Action', 'Adventure']",USA
98,Anaconda,3.5,2.34,63926,"['Adventure', 'Thriller', 'Horror']",Brazil
99,Speed,4.0,3.63,181064,"['Adventure', 'Action', 'Crime']",USA
100,The Rock,4.0,3.49,90687,"['Action', 'Thriller', 'Adventure']",USA
101,Executive Decision,3.5,3.04,16454,"['Thriller', 'Action', 'Drama', 'Adventure']",USA
102,Jurassic Park,5.0,4.1,773689,"['Science Fiction', 'Adventure']",USA
103,Jumanji,3.5,3.57,302518,"['Fantasy', 'Family', 'Adventure']",USA
104,Freefall: Flight 174,4.0,3.09,72,"['Drama', 'TV Movie']",USA
105,Mrs. Doubtfire,4.0,3.57,189793,"['Drama', 'Family', 'Comedy']",USA
106,Terminator 2: Judgment Day,5.0,4.21,381764,"['Thriller', 'Action', 'Science Fiction']",USA
107,Home Alone 2: Lost in New York,3.5,3.41,328641,"['Comedy', 'Adventure', 'Family']",USA
108,Arachnophobia,4.0,3.2,32390,"['Horror', 'Comedy']",USA
109,Tremors,5.0,3.51,102378,"['Comedy', 'Horror', 'Action']",USA
110,"Honey, I Shrunk the Kids",3.5,3.1,83792,"['Comedy', 'Family', 'Science Fiction', 'Adventure']",USA
111,Coming to America,4.5,3.52,121074,"['Romance', 'Comedy']",USA
112,Police Story,5.0,3.98,60408,"['Action', 'Crime', 'Thriller']",Hong Kong
113,The Fly,4.0,3.94,210277,"['Science Fiction', 'Horror']",Canada
114,Island of Fire,3.5,2.68,1573,"['Drama', 'Crime', 'Action']",Hong Kong
115,Total Recall,4.0,3.75,163341,"['Action', 'Science Fiction', 'Adventure']",USA
116,Clue,5.0,3.85,166269,"['Comedy', 'Thriller', 'Mystery', 'Crime']",USA
117,Indiana Jones and the Last Crusade,5.0,4.02,335663,"['Adventure', 'Action']",USA
118,Back to the Future,4.5,4.19,875352,"['Adventure', 'Comedy', 'Science Fiction']",USA
119,Beverly Hills Cop,4.5,3.59,92491,"['Crime', 'Action', 'Comedy']",USA
120,The Karate Kid,4.0,3.7,188546,"['Family', 'Drama', 'Action']",USA
121,E.T. the Extra-Terrestrial,4.5,3.84,482220,"['Family', 'Fantasy', 'Science Fiction', 'Adventure']",USA
122,The Empire Strikes Back,5.0,4.39,842408,"['Science Fiction', 'Adventure', 'Action']",USA
123,Jaws,4.5,3.98,582936,"['Thriller', 'Horror', 'Adventure']",USA
124,The Lady Vanishes,4.0,2.88,851,"['Thriller', 'Romance', 'Comedy', 'Mystery']",UK
125,Star Wars,5.0,4.19,938066,"['Adventure', 'Action', 'Science Fiction']",USA
126,Return of the Jedi,5.0,4.02,698645,"['Science Fiction', 'Adventure', 'Action']",USA
127,Superman,3.5,3.64,94757,"['Action', 'Adventure', 'Science Fiction']",UK
128,The Godfather: Part II,5.0,4.54,474751,"['Drama', 'Crime']",USA
129,Raiders of the Lost Ark,5.0,4.16,511366,"['Adventure', 'Action']",USA
130,Drunken Master,4.5,3.71,27587,"['Action', 'Comedy']",Hong Kong
131,The Godfather,5.0,4.54,866764,"['Crime', 'Drama']",USA
132,The Man Who Saw Tomorrow,4.0,2.73,204,"['Documentary', 'Drama']",USA
133,Rear Window,5.0,4.31,340113,"['Thriller', 'Mystery']",USA
134,The Amazing Spider-Man,4.0,3.27,621300,"['Action', 'Fantasy', 'Adventure']",USA
135,The Interview,4.5,2.9,229859,"['Action', 'Comedy']",USA
136,Red Notice,4.5,2.58,211414,"['Crime', 'Comedy', 'Thriller', 'Action']",USA
137,Candyman,4.0,3.66,139304,"['Drama', 'Thriller', 'Horror']",USA
138,Chinatown,4.5,4.21,216156,"['Crime', 'Drama', 'Mystery', 'Thriller']",USA
139,Dangerous Lies,4.0,2.06,14653,['Thriller'],Canada
140,The Machinist,4.0,3.7,166510,"['Drama', 'Thriller']",Belgium
141,Wind River,4.0,3.78,174759,"['Drama', 'Crime', 'Thriller', 'Mystery']",France
142,The Shining,5.0,4.26,1132656,"['Horror', 'Thriller']",USA
143,Starsky & Hutch,4.0,2.78,52560,"['Comedy', 'Crime']",USA
144,The Amazing Spider-Man 2,4.0,2.89,495102,"['Fantasy', 'Action', 'Adventure']",USA
145,The Dark Knight,5.0,4.45,1476645,"['Action', 'Thriller', 'Drama', 'Crime']",UK
146,12 Angry Men,4.5,4.52,402366,['Drama'],USA
147,The Negotiator,4.0,3.38,28920,"['Drama', 'Thriller', 'Crime', 'Action']",Germany
148,Se7en,5.0,4.29,1032500,"['Thriller', 'Crime', 'Mystery']",USA
149,Minions: The Rise of Gru,4.0,3.37,269991,"['Family', 'Animation', 'Comedy']",USA
150,Scary Movie,4.5,3.02,221974,['Comedy'],USA
151,The Book of Manning,4.5,3.58,288,['Documentary'],USA
152,Zoolander,4.0,3.33,288686,['Comedy'],Germany
153,Spider-Man: No Way Home,4.5,3.99,1356496,"['Action', 'Adventure', 'Science Fiction']",USA
154,Moon Knight,4.0,3.69,225084,['Mystery'],USA
155,Thor: Love and Thunder,3.0,2.76,661709,"['Action', 'Fantasy', 'Comedy']",USA
156,Death on the Nile,3.5,2.75,212458,"['Thriller', 'Crime', 'Mystery', 'Drama', 'Adventure', 'Action']",UK
157,Hustle,4.0,3.58,193440,"['Drama', 'Comedy']",USA
158,The Unbearable Weight of Massive Talent,4.0,3.5,230792,"['Action', 'Comedy', 'Crime']",USA
159,Turning Red,3.0,3.7,536328,"['Fantasy', 'Comedy', 'Family', 'Animation']",USA
160,Scream,4.0,3.37,363586,"['Horror', 'Mystery', 'Thriller']",USA
161,Operation Mincemeat,3.5,3.14,24386,"['Drama', 'War', 'History']",Spain
162,Don't Look Up,3.5,3.11,1011457,"['Comedy', 'Drama', 'Science Fiction']",USA
163,Eternals,4.0,2.95,547109,"['Science Fiction', 'Action', 'Adventure']",Canada
164,The Imitation Game,5.0,3.77,477488,"['History', 'Drama', 'War', 'Thriller']",UK
165,Hawkeye,4.0,3.49,184433,"['Comedy', 'Drama']",USA
166,No Time to Die,3.5,3.51,413452,"['Adventure', 'Thriller', 'Action']",UK
167,Black Widow,3.5,3.12,679496,"['Action', 'Adventure', 'Science Fiction']",USA
168,Shang-Chi and the Legend of the Ten Rings,4.0,3.6,664129,"['Fantasy', 'Adventure', 'Action']",USA
169,Venom: Let There Be Carnage,3.0,2.67,338889,"['Action', 'Adventure', 'Science Fiction']",USA
170,A Classic Horror Story,3.5,2.77,40845,"['Horror', 'Mystery']",Italy
171,WandaVision,4.0,3.85,401452,"['Mystery', 'Drama']",USA
172,Things Heard & Seen,3.5,2.46,40268,['Horror'],USA
173,The Conjuring: The Devil Made Me Do It,3.5,2.86,232346,"['Mystery', 'Thriller', 'Horror']",USA
174,Coming 2 America,3.5,2.39,56295,['Comedy'],USA
175,Jumanji: The Next Level,3.5,2.97,218258,"['Comedy', 'Fantasy', 'Adventure']",USA
176,Zombieland: Double Tap,3.0,3.04,233750,"['Comedy', 'Horror']",USA
177,The Rental,3.5,2.71,56274,['Horror'],USA
178,The Scary House,3.0,2.46,3791,"['Fantasy', 'Family', 'Horror']",Austria
179,Just Mercy,4.0,3.8,67908,"['Drama', 'History', 'Crime']",USA
180,Fractured,4.0,3.04,76827,['Thriller'],USA
181,Disappearance at Clifton Hill,4.0,2.72,5436,['Thriller'],Canada
182,Escape Plan: The Extractors,3.0,1.97,5713,"['Thriller', 'Adventure', 'Crime', 'Action']",China
183,Spenser Confidential,3.5,2.54,46258,"['Action', 'Thriller', 'Comedy']",USA
184,Inside Man: Most Wanted,3.0,2.49,1269,"['Thriller', 'Action', 'Crime']",USA
185,Triple Frontier,3.5,3.01,93066,"['Thriller', 'Crime', 'Action', 'Adventure']",USA
186,Scary Stories to Tell in the Dark,4.0,2.84,134738,"['Horror', 'Thriller']",Canada
187,Escape Plan 2: Hades,3.5,1.77,11264,"['Thriller', 'Action', 'Mystery']",China
188,The Curse of La Llorona,3.0,2.03,61973,"['Horror', 'Mystery', 'Thriller']",USA
189,Glass,3.0,2.97,255877,"['Drama', 'Science Fiction', 'Thriller']",USA
190,Insidious: The Last Key,3.5,2.53,55551,"['Horror', 'Mystery', 'Thriller']",USA
191,Flight 666,2.5,1.98,744,"['Horror', 'Science Fiction']",USA
192,Hereditary,4.5,4.02,984224,"['Thriller', 'Horror', 'Mystery']",USA
193,D-Railed,3.0,1.87,800,['Horror'],USA
194,The Ritual,3.5,3.22,148128,"['Mystery', 'Thriller', 'Horror']",Canada
195,Kingsman: The Golden Circle,4.5,3.14,318251,"['Adventure', 'Comedy', 'Action']",UK
196,Ant-Man and the Wasp,4.0,3.06,561255,"['Science Fiction', 'Adventure', 'Action']",USA
197,Hangman,3.5,2.13,5863,"['Crime', 'Mystery', 'Thriller']",USA
198,Rampage,3.0,2.47,98782,"['Action', 'Adventure', 'Science Fiction']",USA
199,Venom,3.5,2.91,540457,"['Action', 'Science Fiction']",China
200,Star Wars: The Last Jedi,3.5,3.06,776580,"['Science Fiction', 'Adventure', 'Action']",USA
201,Shimmer Lake,3.5,2.91,9345,"['Crime', 'Mystery', 'Drama', 'Thriller']",Canada
202,Kidnap,3.0,2.55,14296,"['Thriller', 'Drama']",UK
203,Split,3.0,3.52,672125,"['Horror', 'Thriller']",USA
204,Time Trap,3.5,2.62,15672,"['Science Fiction', 'Adventure']",USA
205,Doctor Strange,4.0,3.51,900715,"['Fantasy', 'Action', 'Adventure']",USA
206,The Recall,3.0,1.77,1300,"['Science Fiction', 'Horror']",Canada
207,The Mummy,3.0,2.0,99776,"['Adventure', 'Horror', 'Thriller', 'Action', 'Fantasy']",Japan
208,Skiptrace,3.0,2.42,6273,"['Mystery', 'Thriller', 'Comedy', 'Action']",China
209,Jack Reacher: Never Go Back,3.5,2.63,52477,"['Action', 'Thriller']",China
210,Marauders,3.0,2.38,4316,"['Action', 'Thriller', 'Crime']",Canada
211,The Foreigner,3.0,3.16,44184,"['Action', 'Thriller']",China
212,USS Indianapolis: Men of Courage,4.0,2.12,3983,"['War', 'Action']",USA
213,The Shallows,3.0,2.98,107202,"['Thriller', 'Horror', 'Drama']",Australia
214,The Conjuring 2,4.5,3.42,279053,"['Horror', 'Thriller']",USA
215,Independence Day: Resurgence,3.5,2.09,74279,"['Adventure', 'Action', 'Science Fiction']",USA
216,Krampus,3.0,3.01,100106,"['Fantasy', 'Horror', 'Comedy']",USA
217,In the Heart of the Sea,3.5,3.05,61732,"['Thriller', 'Adventure', 'History', 'Drama', 'Action']",Spain
218,London Has Fallen,3.0,2.56,58376,"['Action', 'Thriller']",Bulgaria
219,Jurassic World,4.0,3.02,510592,"['Science Fiction', 'Adventure', 'Action', 'Thriller']",USA
220,Pay the Ghost,3.0,2.06,5920,['Horror'],USA
221,Secret in Their Eyes,4.0,2.76,14476,"['Thriller', 'Mystery', 'Drama', 'Crime']",South Korea
