,Title,User Rating,Letterboxd Rating,Letterboxd Rating Count,Genres,Country of Origin
69,Harry Potter and the Philosopher's Stone,4.0,3.79,845853,"['Fantasy', 'Adventure']",UK
70,Harry Potter and the Chamber of Secrets,4.0,3.63,726174,"['Adventure', 'Fantasy']",UK
71,Rush Hour 2,4.5,3.25,98706,"['Comedy', 'Action', 'Crime']",USA
72,Swordfish,4.0,2.64,33704,"['Action', 'Crime', 'Thriller']",Australia
73,Harry Potter and the Goblet of Fire,4.0,3.81,721284,"['Fantasy', 'Family', 'Adventure']",UK
74,Cast Away,3.5,3.8,314545,"['Adventure', 'Drama']",USA
75,The Others,4.5,3.72,171405,"['Thriller', 'Horror', 'Mystery']",France
76,Unbreakable,4.5,3.65,254637,"['Thriller', 'Drama', 'Mystery']",USA
77,Blue Streak,4.0,2.96,22168,"['Crime', 'Comedy', 'Action']",Germany
78,X-Men,4.0,3.32,296942,"['Adventure', 'Action', 'Science Fiction']",USA
79,What Lies Beneath,4.0,3.1,40033,"['Horror', 'Mystery', 'Thriller', 'Drama']",USA
80,The Art of War,4.0,2.47,4534,"['Action', 'Adventure', 'Crime']",Canada
81,Star Wars: Episode I - The Phantom Menace,4.0,2.84,645419,"['Action', 'Science Fiction', 'Adventure']",USA
82,The Sixth Sense,4.5,3.97,436807,"['Drama', 'Mystery', 'Thriller']",USA
83,Rush Hour,5.0,3.47,163968,"['Comedy', 'Crime', 'Action']",USA
84,Blade,4.0,3.4,148014,"['Horror', 'Action']",USA
85,I Know What You Did Last Summer,4.5,2.95,122704,"['Thriller', 'Mystery', 'Horror']",USA
86,True Crime,4.0,3.1,8121,"['Action', 'Drama', 'Mystery', 'Crime', 'Thriller']",USA
87,Snake Eyes,4.0,3.24,39947,"['Crime', 'Thriller', 'Mystery']",Canada
88,The Game,4.5,3.7,239327,"['Thriller', 'Drama', 'Mystery']",USA
89,Face/Off,5.0,3.45,146693,"['Science Fiction', 'Thriller', 'Crime', 'Action']",USA
90,The Lost World: Jurassic Park,4.0,3.08,241774,"['Science Fiction', 'Action', 'Adventure']",USA
