,Statistic,User Rating,Letterboxd Rating,Letterboxd Rating Count
0,Mean,3.623076923076923,3.1008923076923076,221651.50666666665
1,Standard Deviation,0.7198639282431074,0.6889386561685696,313619.77725264325
2,Variation,0.5221846153846155,-0.5221846153846155,N/A
